"prov" "agno" "casos" "esp" "long" "lat"
"1" 1 1975 12 13.7602387017832 -2.69920255095887 42.8362688079098
"2" 2 1975 40 31.0199955693602 -1.98432704501776 38.8405206642905
"3" 3 1975 94 76.8752073562988 -0.576909403944958 38.4974913538265
"4" 4 1975 19 27.1816470157342 -2.35604061514020 37.2133431727737
"5" 5 1975 15 22.1218215725935 -4.93788312937989 40.5815877800085
"6" 6 1975 61 56.005863385039 -6.13905369866462 38.7256674878886
"7" 7 1975 69 53.8886790043239 2.91946602099717 39.6320217153478
"8" 8 1975 309 282.939167758778 1.99811663925652 41.7469265779753
"9" 9 1975 17 33.2219249034689 -3.59134675355039 42.3729704312902
"10" 10 1975 31 38.4641103357599 -6.15535052135614 39.7231926273179
"11" 11 1975 79 44.915349263994 -5.76468483106548 36.5624969412696
"12" 12 1975 50 41.3176197426038 -0.148039282559446 40.2507348146576
"13" 13 1975 40 40.4597884102751 -3.81339188792 38.9298215736108
"14" 14 1975 35 53.035092169548 -4.81499528758521 38.0049023897714
"15" 15 1975 66 78.9842348753142 -8.45971855216294 43.1280401889178
"16" 16 1975 19 27.7047781012213 -2.19548700715003 39.9086860718255
"17" 17 1975 53 39.4256825680118 2.68708796205338 42.145865652011
"18" 18 1975 50 52.5224368552471 -3.2725162184824 37.3330507124855
"19" 19 1975 15 19.8923985870922 -2.62128556282702 40.8274558690964
"20" 20 1975 23 38.4082822140595 -2.16792853126469 43.1528089188849
"21" 21 1975 35 29.3695582765152 -6.83265276754075 37.5978334583402
"22" 22 1975 19 27.2282778385873 -0.059609139223607 42.2142401605038
"23" 23 1975 47 52.7017056410128 -3.44979781370444 38.0308250493701
"24" 24 1975 44 48.5914503608686 -5.82870631120274 42.634323440999
"25" 25 1975 47 37.4467104645274 1.05797639294180 42.0569667018661
"26" 26 1975 25 21.7299857795807 -2.50129759774743 42.2834647638459
"27" 27 1975 38 53.7957468785636 -7.43968312456498 43.0234823442494
"28" 28 1975 214 234.129783123261 -3.71281962879811 40.5070988091236
"29" 29 1975 74 56.7502837789104 -4.73055642619482 36.8262859308411
"30" 30 1975 68 65.01746024162 -1.49630010993228 38.0192645198754
"31" 31 1975 33 40.790704406931 -1.62626983258690 42.6731456222013
"32" 32 1975 38 46.7502483596977 -7.57751195701661 42.2058800425114
"33" 33 1975 62 84.4998392395472 -5.9826023524122 43.3068393860113
"34" 34 1975 18 17.966092282136 -4.5244778612837 42.3858592040108
"35" 35 1975 40 33.2230854446752 -14.0808342801231 28.5157089130002
"36" 36 1975 72 53.7872909627805 -8.44460855754943 42.4398016773539
"37" 37 1975 35 40.2542378473626 -6.0589248043088 40.8171845370366
"38" 38 1975 42 38.4698512610188 -16.5420836626214 28.4318722417734
"39" 39 1975 42 36.4341776106591 -4.01407954592847 43.2119867222126
"40" 40 1975 23 17.1152140568443 -4.04852400392879 41.1828032906417
"41" 41 1975 66 81.3466051224961 -5.68875708808965 37.448879916972
"42" 42 1975 6 14.3635891127786 -2.58123034319994 41.6308263313168
"43" 43 1975 44 47.7953550721041 0.826785127629588 41.099494777678
"44" 44 1975 10 22.2054167895222 -0.812830844826387 40.6744694945262
"45" 45 1975 39 45.8901924597476 -4.14438535984712 39.8056144801947
"46" 46 1975 162 144.756091788057 -0.789648969061416 39.3579240490339
"47" 47 1975 36 30.9864542933724 -4.83269168581912 41.6440757226044
"48" 48 1975 81 65.8443755544058 -2.83223719674931 43.2527888459929
"49" 49 1975 16 27.2975348957032 -5.96472387457858 41.742081055707
"50" 50 1975 71 70.5423892065608 -1.05613701304700 41.6309680140457
"51" 1 1976 14 14.3130318613985 -2.69920255095887 42.8362688079098
"52" 2 1976 43 31.8100911032678 -1.98432704501776 38.8405206642905
"53" 3 1976 103 79.774000121406 -0.576909403944958 38.4974913538265
"54" 4 1976 23 28.0006364836143 -2.35604061514020 37.2133431727737
"55" 5 1976 14 22.6453775610156 -4.93788312937989 40.5815877800085
"56" 6 1976 73 57.3643681693376 -6.13905369866462 38.7256674878886
"57" 7 1976 64 55.6940042898584 2.91946602099717 39.6320217153478
"58" 8 1976 293 294.061979060329 1.99811663925652 41.7469265779753
"59" 9 1976 31 34.208654866708 -3.59134675355039 42.3729704312902
"60" 10 1976 25 39.6645403138366 -6.15535052135614 39.7231926273179
"61" 11 1976 59 46.5365387812195 -5.76468483106548 36.5624969412696
"62" 12 1976 48 42.6488754253248 -0.148039282559446 40.2507348146576
"63" 13 1976 38 41.6565230542978 -3.81339188792 38.9298215736108
"64" 14 1976 43 54.6714003654357 -4.81499528758521 38.0049023897714
"65" 15 1976 59 81.9270350542668 -8.45971855216294 43.1280401889178
"66" 16 1976 22 28.4710502377633 -2.19548700715003 39.9086860718255
"67" 17 1976 49 40.5967953121412 2.68708796205338 42.145865652011
"68" 18 1976 53 54.1213429846987 -3.2725162184824 37.3330507124855
"69" 19 1976 26 20.3304214947298 -2.62128556282702 40.8274558690964
"70" 20 1976 29 39.7198386153451 -2.16792853126469 43.1528089188849
"71" 21 1976 32 30.1262097872907 -6.83265276754075 37.5978334583402
"72" 22 1976 30 27.9367951170053 -0.059609139223607 42.2142401605038
"73" 23 1976 45 54.1193755349375 -3.44979781370444 38.0308250493701
"74" 24 1976 50 50.2888888969981 -5.82870631120274 42.634323440999
"75" 25 1976 30 38.6249793852409 1.05797639294180 42.0569667018661
"76" 26 1976 35 22.3332491447482 -2.50129759774743 42.2834647638459
"77" 27 1976 42 55.2755416496499 -7.43968312456498 43.0234823442494
"78" 28 1976 186 245.189703985735 -3.71281962879811 40.5070988091236
"79" 29 1976 68 58.7318829398982 -4.73055642619482 36.8262859308411
"80" 30 1976 88 67.0928878654186 -1.49630010993228 38.0192645198754
"81" 31 1976 45 42.0414514869202 -1.62626983258690 42.6731456222013
"82" 32 1976 50 48.2957646398933 -7.57751195701661 42.2058800425114
"83" 33 1976 84 87.9327187843272 -5.9826023524122 43.3068393860113
"84" 34 1976 28 18.5400522353543 -4.5244778612837 42.3858592040108
"85" 35 1976 46 34.5825406303175 -14.0808342801231 28.5157089130002
"86" 36 1976 53 55.7943988341357 -8.44460855754943 42.4398016773539
"87" 37 1976 36 41.4352638413491 -6.0589248043088 40.8171845370366
"88" 38 1976 47 39.6297053943362 -16.5420836626214 28.4318722417734
"89" 39 1976 35 37.7047476127416 -4.01407954592847 43.2119867222126
"90" 40 1976 18 17.5146998604867 -4.04852400392879 41.1828032906417
"91" 41 1976 92 83.9350378982975 -5.68875708808965 37.448879916972
"92" 42 1976 13 14.7632267919113 -2.58123034319994 41.6308263313168
"93" 43 1976 59 49.0427857541356 0.826785127629588 41.099494777678
"94" 44 1976 18 22.8209936021278 -0.812830844826387 40.6744694945262
"95" 45 1976 36 47.2991203729974 -4.14438535984712 39.8056144801947
"96" 46 1976 160 149.189069516083 -0.789648969061416 39.3579240490339
"97" 47 1976 29 32.0004378854342 -4.83269168581912 41.6440757226044
"98" 48 1976 83 68.1461572434049 -2.83223719674931 43.2527888459929
"99" 49 1976 34 28.2638912198546 -5.96472387457858 41.742081055707
"100" 50 1976 94 72.984757507763 -1.05613701304700 41.6309680140457
"101" 1 1977 9 14.7738990900317 -2.69920255095887 42.8362688079098
"102" 2 1977 39 32.3968973069587 -1.98432704501776 38.8405206642905
"103" 3 1977 115 82.1917794353111 -0.576909403944958 38.4974913538265
"104" 4 1977 32 28.6855208374986 -2.35604061514020 37.2133431727737
"105" 5 1977 25 23.0123826850121 -4.93788312937989 40.5815877800085
"106" 6 1977 63 58.3734714021418 -6.13905369866462 38.7256674878886
"107" 7 1977 69 57.1448361589028 2.91946602099717 39.6320217153478
"108" 8 1977 307 303.405935468596 1.99811663925652 41.7469265779753
"109" 9 1977 23 34.9790261453907 -3.59134675355039 42.3729704312902
"110" 10 1977 37 40.6207648889586 -6.15535052135614 39.7231926273179
"111" 11 1977 51 47.928311041514 -5.76468483106548 36.5624969412696
"112" 12 1977 43 43.6996154176353 -0.148039282559446 40.2507348146576
"113" 13 1977 36 42.585803168753 -3.81339188792 38.9298215736108
"114" 14 1977 48 55.9907013616885 -4.81499528758521 38.0049023897714
"115" 15 1977 88 84.3377941034703 -8.45971855216294 43.1280401889178
"116" 16 1977 18 29.0616767750869 -2.19548700715003 39.9086860718255
"117" 17 1977 49 41.5029964046549 2.68708796205338 42.145865652011
"118" 18 1977 41 55.403884663819 -3.2725162184824 37.3330507124855
"119" 19 1977 13 20.6291561955077 -2.62128556282702 40.8274558690964
"120" 20 1977 29 40.791417955962 -2.16792853126469 43.1528089188849
"121" 21 1977 29 30.7052851933805 -6.83265276754075 37.5978334583402
"122" 22 1977 30 28.4557629723786 -0.059609139223607 42.2142401605038
"123" 23 1977 46 55.2240193624666 -3.44979781370444 38.0308250493701
"124" 24 1977 56 51.6997971244022 -5.82870631120274 42.634323440999
"125" 25 1977 43 39.572824850535 1.05797639294180 42.0569667018661
"126" 26 1977 22 22.7675606814424 -2.50129759774743 42.2834647638459
"127" 27 1977 51 56.3857429918838 -7.43968312456498 43.0234823442494
"128" 28 1977 193 254.853696371536 -3.71281962879811 40.5070988091236
"129" 29 1977 78 60.3890478875972 -4.73055642619482 36.8262859308411
"130" 30 1977 68 68.7230944384065 -1.49630010993228 38.0192645198754
"131" 31 1977 39 42.9989867830343 -1.62626983258690 42.6731456222013
"132" 32 1977 33 49.4996289242891 -7.57751195701661 42.2058800425114
"133" 33 1977 89 90.8275774606358 -5.9826023524122 43.3068393860113
"134" 34 1977 29 18.9908631880283 -4.5244778612837 42.3858592040108
"135" 35 1977 34 35.7271662391047 -14.0808342801231 28.5157089130002
"136" 36 1977 58 57.481453426009 -8.44460855754943 42.4398016773539
"137" 37 1977 37 42.3564768306171 -6.0589248043088 40.8171845370366
"138" 38 1977 40 40.5490269703398 -16.5420836626214 28.4318722417734
"139" 39 1977 48 38.7475549407673 -4.01407954592847 43.2119867222126
"140" 40 1977 15 17.7982180054845 -4.04852400392879 41.1828032906417
"141" 41 1977 95 86.0630348168315 -5.68875708808965 37.448879916972
"142" 42 1977 13 15.0609864645891 -2.58123034319994 41.6308263313168
"143" 43 1977 58 49.9774000002926 0.826785127629588 41.099494777678
"144" 44 1977 22 23.3013226469263 -0.812830844826387 40.6744694945262
"145" 45 1977 39 48.4254283788034 -4.14438535984712 39.8056144801947
"146" 46 1977 152 152.703801394834 -0.789648969061416 39.3579240490339
"147" 47 1977 46 32.8087239216161 -4.83269168581912 41.6440757226044
"148" 48 1977 68 70.055331253933 -2.83223719674931 43.2527888459929
